Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Authority,Hub
23053753,,,19,21.002695,4,0.421557,0.458097,0.00587,1,0.004875,0,0.122807,21,0.199401,0.056359,0.056359
130123715,,,11,15,5,0.402286,0.434517,0.008815,5,0.00401,0,0.218182,12,0.133889,0.036927,0.036927
1913262020,,,5,4.002695,4,0.392419,0.41714,0.00019,2,0.001267,0,0.6,6,0.107409,0.030951,0.030951
522628807,,,3,4,5,0.369748,0.393324,0.005801,2,0.001945,0,0,0,0.048867,0.013518,0.013518
138294089,,,17,25.008086,4,0.44898,0.47893,0.006347,4,0.005597,0,0.404412,55,0.305687,0.088532,0.088532
1484651119,,,3,4,5,0.345437,0.365909,0.000076,2,0.001337,0,0.333333,1,0.037731,0.010217,0.010217
419092341,,,1,1,6,0.290909,0.305161,0,2,0.000668,0,0,0,0.008309,0.002164,0.002164
599745022,,,54,92.016173,4,0.503577,0.553977,0.041626,4,0.019598,0,0.18798,269,0.661923,0.190863,0.190863
573614242,,,5,7.002695,5,0.372487,0.395455,0.000127,3,0.001681,0,0.5,5,0.094731,0.02755,0.02755
340376505,,,61,116.008086,4,0.495775,0.555634,0.034425,1,0.023686,0,0.177049,324,0.732786,0.213662,0.213661
98896743,,,1,1,5,0.361026,0.381723,0,0,0.000638,0,0,0,0.040034,0.011332,0.011332
74418780,,,4,4,4,0.418052,0.441288,0,6,0.001314,0,1,6,0.136716,0.038853,0.038853
590023803,,,61,78.016173,4,0.505022,0.561553,0.051722,1,0.017143,0,0.165574,303,0.712047,0.205613,0.205613
769193119,,,1,2,6,0.277384,0.289773,0,1,0.00078,0,0,0,0.008657,0.002594,0.002594
1116121759,,,15,28,5,0.383442,0.418182,0.007768,1,0.005855,0,0.380952,40,0.219966,0.065037,0.065037
34472348,,,6,8,4,0.383442,0.409564,0.001483,5,0.002392,0,0.333333,5,0.095492,0.027039,0.027039
229376260,,,8,11,4,0.411696,0.439157,0.006646,5,0.00329,0,0.321429,9,0.124404,0.034369,0.034369
885751759,,,3,6,5,0.303972,0.32268,0.000042,1,0.001632,0,0,0,0.025833,0.00758,0.00758
162266849,,,22,30.002695,4,0.45478,0.488873,0.007511,4,0.006345,0,0.359307,83,0.379489,0.109922,0.109922
2360323201,,,82,107,4,0.525373,0.59446,0.097154,4,0.025357,0,0.109003,362,0.821252,0.235141,0.235141
25805982,,,20,29,5,0.444444,0.479498,0.016777,3,0.006861,0,0.263158,50,0.299473,0.085485,0.085485
546641586,,,10,7.010782,4,0.387239,0.415956,0.001373,4,0.00188,0,0.133333,6,0.136301,0.039199,0.039199
714051386,,,51,83.002695,4,0.484848,0.539063,0.021564,4,0.01644,0,0.239216,305,0.69111,0.202189,0.202189
424617920,,,6,11,5,0.375667,0.401136,0.000182,4,0.002439,0,0.266667,4,0.106495,0.031099,0.031099
3017002076,,,14,22,4,0.431902,0.462595,0.000526,4,0.004631,0,0.582418,53,0.280107,0.08188,0.081881
254941287,,,22,35,4,0.42615,0.465672,0.003668,4,0.007151,0,0.376623,87,0.352523,0.103119,0.103119
1240932972,,,3,5,5,0.333018,0.350758,0.000033,4,0.001407,0,0.666667,2,0.043276,0.012961,0.012961
25795054,,,3,5,5,0.339441,0.358807,0.000186,7,0.001569,0,0.333333,1,0.035342,0.00983,0.00983
2483605494,,,8,9,4,0.427704,0.453362,0.000618,1,0.002258,0,0.535714,15,0.179143,0.051338,0.051338
38486565,,,1,1,5,0.316262,0.326941,0,4,0.000624,0,0,0,0.015221,0.004507,0.004507
86277690,,,23,31,4,0.461942,0.495502,0.015073,4,0.007256,0,0.383399,97,0.391946,0.113004,0.113004
3063966541,,,3,4,5,0.391546,0.415341,0,4,0.001276,0,1,3,0.094707,0.026932,0.026932
29424561,,,7,8,5,0.383025,0.410369,0.005746,0,0.002442,0,0.380952,8,0.100646,0.02819,0.02819
436502521,,,17,27.002695,4,0.423077,0.457623,0.004635,4,0.005785,0,0.301471,41,0.26835,0.077937,0.077937
35588686,,,1,1,5,0.287113,0.2991,0,4,0.000637,0,0,0,0.007852,0.002231,0.002231
17263897,,,16,15.010782,4,0.402286,0.43679,0.008688,4,0.003743,0,0.166667,20,0.193586,0.055948,0.055948
29406736,,,16,24.005391,4,0.418549,0.452652,0.01956,1,0.006456,0,0.233333,28,0.222422,0.064447,0.064447
187138183,,,19,28,4,0.428224,0.464252,0.006423,1,0.006379,0,0.28655,49,0.283777,0.082435,0.082435
144051948,,,2,4,5,0.304762,0.318939,0.000076,5,0.001339,0,0,0,0.012691,0.003449,0.003449
1386366252,,,2,4,5,0.295798,0.308949,0.005682,1,0.001947,0,0,0,0.009379,0.002574,0.002574
2587278392,,,20,28,4,0.423586,0.461174,0.009458,1,0.006808,0,0.321053,61,0.301543,0.08802,0.08802
53645593,,,3,5,5,0.341085,0.357576,0.000324,5,0.001686,0,0,0,0.036219,0.010451,0.010451
100658892,,,3,5,5,0.337165,0.355161,0.000371,5,0.001833,0,0,0,0.025514,0.006756,0.006756
146668548,,,4,7,5,0.362513,0.38821,0.002184,5,0.00247,0,0.166667,1,0.045833,0.012268,0.012268
38650214,,,1,1,6,0.28479,0.295928,0,4,0.000699,0,0,0,0.004913,0.001259,0.001259
772477398,,,9,8.005391,5,0.39774,0.427509,0.007299,4,0.002585,0,0.222222,8,0.114318,0.031572,0.031572
2829213614,,,4,3.002695,5,0.373277,0.397206,0.000272,6,0.001152,0,0.333333,2,0.060538,0.016606,0.016606
1874504276,,,11,10.008086,4,0.38895,0.418324,0.00515,1,0.002679,0,0.181818,10,0.123306,0.034841,0.034841
38290921,,,12,16,5,0.419547,0.450616,0.002148,4,0.00409,0,0.363636,24,0.196743,0.055729,0.055729
33026792,,,4,5.002695,5,0.353769,0.372964,0.000157,4,0.001504,0,0.166667,1,0.051511,0.014732,0.014732
605013258,,,2,3,5,0.36214,0.385369,0,4,0.001147,0,1,1,0.044371,0.012166,0.012166
2105021,,,35,59.008086,4,0.46996,0.512784,0.010696,4,0.012788,0,0.265546,158,0.496221,0.143402,0.143402
2402894750,,,13,15.002695,5,0.38386,0.416525,0.00236,1,0.003512,0,0.192308,15,0.154374,0.044295,0.044295
247696871,,,18,26,4,0.415584,0.452415,0.00554,3,0.00544,0,0.228758,35,0.226175,0.065013,0.065013
36327171,,,15,23,5,0.389381,0.425142,0.007007,3,0.004857,0,0.27619,29,0.163461,0.046566,0.046566
79459832,,,23,42.002695,4,0.45655,0.491714,0.017644,1,0.008945,0,0.328063,83,0.373926,0.108085,0.108085
19707925,,,8,11,5,0.413631,0.441383,0.000311,1,0.002541,0,0.571429,16,0.187216,0.054023,0.054023
38645535,,,6,9.002695,5,0.34476,0.366619,0.000258,3,0.002087,0,0.333333,5,0.05411,0.015201,0.015201
2797758762,,,15,22,5,0.421053,0.454877,0.003645,1,0.004763,0,0.333333,35,0.238948,0.069047,0.069047
33894316,,,12,15.002695,4,0.420048,0.450047,0.00062,4,0.003246,0,0.621212,41,0.249926,0.073018,0.073018
36951856,,,12,22.002695,5,0.383442,0.414631,0.001639,3,0.004426,0,0.378788,25,0.161419,0.047283,0.047283
39935935,,,29,45,5,0.403207,0.451326,0.017241,1,0.00965,0,0.162562,66,0.311559,0.090676,0.090676
3015585874,,,8,9.005391,4,0.417062,0.443655,0.000424,1,0.002157,0,0.571429,16,0.182283,0.052727,0.052727
135132634,,,15,28,4,0.442211,0.472538,0.007615,3,0.006049,0,0.352381,37,0.239713,0.068203,0.068203
21552376,,,7,14,5,0.335878,0.358097,0.001289,3,0.003277,0,0.190476,4,0.040461,0.010886,0.010886
15641984,,,10,15,4,0.40367,0.433949,0.00065,0,0.003343,0,0.422222,19,0.180854,0.051803,0.051803
22906120,,,9,15,4,0.385965,0.414536,0.003769,3,0.003815,0,0.305556,11,0.095905,0.026353,0.026353
51271144,,,30,43,4,0.430318,0.477036,0.019881,0,0.010048,0,0.156322,68,0.271053,0.075108,0.075108
129635846,,,3,4,5,0.376471,0.401847,0.000153,1,0.001272,0,0.666667,2,0.070316,0.02005,0.02005
42542097,,,10,11.005391,4,0.429268,0.456203,0.000765,1,0.002584,0,0.466667,21,0.19475,0.056017,0.056018
431658017,,,12,19.005391,4,0.412661,0.443182,0.001441,4,0.004066,0,0.409091,27,0.229012,0.06665,0.06665
22874109,,,13,23.002695,4,0.441656,0.469697,0.006267,4,0.00553,0,0.358974,28,0.257972,0.074082,0.074083
2992750166,,,121,130.013477,4,0.56051,0.651042,0.287401,6,0.043932,0,0.050275,365,0.891559,0.249346,0.249346
53128314,,,4,6,5,0.361396,0.382434,0.000046,3,0.001558,0,0.666667,4,0.084036,0.024683,0.024683
3063697555,,,6,8,4,0.393736,0.419508,0.000327,1,0.001998,0,0.666667,10,0.136334,0.039751,0.039751
291612312,,,6,10,5,0.371308,0.395691,0.001384,1,0.002331,0,0.533333,8,0.104251,0.030344,0.030344
1570350235,,,4,6,4,0.391982,0.41643,0,1,0.001522,0,1,6,0.116939,0.034097,0.034097
350209691,,,5,7,5,0.357724,0.381723,0.00001,1,0.001644,0,0.9,9,0.111587,0.033446,0.033446
752078492,,,3,5,5,0.380541,0.405634,0,1,0.001408,0,1,3,0.092568,0.026795,0.026795
543218867,,,3,6,5,0.349901,0.368703,0.000104,5,0.001578,0,0.333333,1,0.05991,0.01773,0.01773
43830965,,,5,3.026954,4,0.359551,0.382812,0.000134,1,0.001165,0,0.5,5,0.085468,0.025006,0.025006
239964366,,,42,51.002695,4,0.484848,0.530066,0.039646,0,0.013001,0,0.159117,137,0.473231,0.133884,0.133884
220616405,,,5,10,4,0.388521,0.414536,0.000253,1,0.002306,0,0.7,7,0.109988,0.031683,0.031683
169833243,,,13,16.013477,4,0.444444,0.471828,0.009659,4,0.004356,0,0.371795,29,0.240771,0.069103,0.069103
2650794800,,,14,8.067385,4,0.419048,0.450994,0.002522,4,0.002313,0,0.307692,28,0.215275,0.061786,0.061786
2949949244,,,18,20.018868,4,0.452442,0.482718,0.002553,1,0.004335,0,0.464052,71,0.328593,0.095293,0.095293
131179888,,,5,7,4,0.390677,0.416903,0.000084,1,0.001765,0,0.6,6,0.122993,0.035319,0.035319
907734912,,,11,18.005391,4,0.431373,0.459517,0.003115,7,0.004237,0,0.418182,23,0.203655,0.05846,0.05846
719655337,,,8,11,4,0.395506,0.423295,0.001595,1,0.002664,0,0.25,7,0.144917,0.042263,0.042263
365105604,,,9,11.002695,4,0.394177,0.423295,0.001788,7,0.002645,0,0.222222,8,0.132352,0.037931,0.037931
526411749,,,6,10.005391,4,0.368973,0.392519,0.000018,4,0.002213,0,0.8,12,0.135251,0.040271,0.040271
2294201833,,,9,14,5,0.380541,0.409186,0.00079,7,0.003298,0,0.333333,12,0.133471,0.038822,0.038822
1580228064,,,15,21.010782,4,0.445006,0.474432,0.008502,4,0.005281,0,0.390476,41,0.267051,0.076671,0.076671
169326150,,,3,5,5,0.341748,0.358239,0.000043,4,0.001444,0,0,0,0.044034,0.012702,0.012702
347048522,,,18,25.013477,4,0.447837,0.479403,0.00497,7,0.005893,0,0.300654,46,0.276962,0.079204,0.079204
994969160,,,2,3,5,0.341085,0.356629,0.000104,4,0.001132,0,0,0,0.026316,0.007164,0.007164
116545134,,,3,5,4,0.374867,0.397254,0,1,0.001435,0,1,3,0.074224,0.021395,0.021395
26452697,,,7,9.002695,4,0.396396,0.423769,0.000136,1,0.002238,0,0.761905,16,0.160244,0.046703,0.046703
116358110,,,1,1,6,0.276078,0.286316,0,5,0.000846,0,0,0,0.003001,0.000691,0.000691
17021576,,,5,6,5,0.380952,0.406676,0.011604,5,0.002969,0,0.2,2,0.064689,0.017322,0.017322
23901130,,,8,10.002695,4,0.424608,0.450521,0.001978,4,0.0025,0,0.285714,8,0.160625,0.04584,0.04584
